combo,base_acc,base_f1,da_acc,da_f1,acc_delta,f1_delta
L,0.7289445628997868,0.7233915153169813,0.767590618336887,0.7585188170565642,0.0386460554371002,0.035127301739582895
A,0.7862473347547975,0.7828092174369748,0.7995735607675906,0.7917501725074957,0.013326226012793096,0.00894095507052084
V,0.7358742004264393,0.7111302776326694,0.7396055437100213,0.7123136931548043,0.003731343283582045,0.0011834155221348563
LA,0.8107675906183369,0.804561080476768,0.8113006396588486,0.8060672319421776,0.0005330490405116572,0.0015061514654095554
LV,0.7625266524520256,0.7567349332733423,0.7790511727078892,0.7716485502041686,0.016524520255863595,0.014913616930826268
AV,0.7806503198294243,0.7771672908799302,0.7979744136460555,0.7915371996526103,0.017324093816631136,0.014369908772680073
LAV,0.81636460554371,0.8121272619590112,0.8139658848614072,0.809713693340086,-0.002398720682302846,-0.002413568618925166
