combo,base_acc,base_f1,da_acc,da_f1,acc_delta,f1_delta
L,0.7755863539445629,0.7569981589826579,0.7683901918976546,0.7559508927551669,-0.0071961620469083165,-0.0010472662274909617
A,0.7859808102345416,0.7769371172115415,0.7798507462686567,0.7467572143963684,-0.006130063965884891,-0.03017990281517302
V,0.7446695095948828,0.6989652505188202,0.744136460554371,0.7045454545454546,-0.0005330490405117683,0.005580204026634394
LA,0.8054371002132196,0.7975549134363444,0.8059701492537313,0.7969322876722496,0.0005330490405117683,-0.0006226257640948862
LV,0.7835820895522388,0.7676793510553102,0.779317697228145,0.7685797699178607,-0.004264392324093813,0.0009004188625505449
AV,0.7822494669509595,0.7742266692825844,0.7902452025586354,0.7754010600610131,0.007995735607675858,0.0011743907784286245
LAV,0.8102345415778252,0.8037421248438089,0.8070362473347548,0.798930608627553,-0.0031982942430703876,-0.004811516216255862
