combo,base_acc,base_f1,da_acc,da_f1,acc_delta,f1_delta
L,0.7513326226012793,0.737299791521366,0.7609275053304904,0.7494818490934231,0.009594882729211052,0.012182057572057037
A,0.7934434968017058,0.7862293982939078,0.7958422174840085,0.7866470329138849,0.002398720682302735,0.00041763461997712525
V,0.7332089552238806,0.6918082217508521,0.7436034115138592,0.7016059015047077,0.010394456289978593,0.009797679753855593
LA,0.8110341151385928,0.8056649297672196,0.8136993603411514,0.8052608354201093,0.0026652452025586193,-0.00040409434711030645
LV,0.767590618336887,0.7573596037270677,0.7761194029850746,0.7655753813088408,0.008528784648187626,0.008215777581773165
AV,0.7961087420042644,0.7906833025558231,0.80090618336887,0.7914779502541109,0.004797441364605581,0.0007946476982878536
LAV,0.8150319829424307,0.8103163269687348,0.8152985074626866,0.8073078603826468,0.00026652452025588413,-0.003008466586087999
