combo,base_acc,base_f1,da_acc,da_f1,acc_delta,f1_delta
L,0.7742537313432836,0.7679418233234795,0.767590618336887,0.7585188170565642,-0.006663113006396548,-0.00942300626691528
A,0.7907782515991472,0.7844508788770517,0.7995735607675906,0.7917501725074957,0.0087953091684434,0.007299293630444015
V,0.7238805970149254,0.7182826916018581,0.7396055437100213,0.7123136931548043,0.015724946695095943,-0.005968998447053786
LA,0.8118336886993603,0.8084164100125886,0.8113006396588486,0.8060672319421776,-0.0005330490405117683,-0.0023491780704110177
LV,0.7846481876332623,0.7811843487394958,0.7790511727078892,0.7716485502041686,-0.005597014925373123,-0.009535798535327267
AV,0.785181236673774,0.7813697513249084,0.7979744136460555,0.7915371996526103,0.01279317697228144,0.010167448327701889
LAV,0.8139658848614072,0.811873826651053,0.8139658848614072,0.809713693340086,0.0,-0.002160133310966983
